result/tencentBlock.ns12217.csv                    TLCacheQL-BMR cache size       35MiB, 1000001 req, miss ratio 0.7547, byte miss ratio 0.8981
result/tencentBlock.ns12217.csv                    TLCacheQL-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3423, byte miss ratio 0.3188
result/tencentBlock.ns12217.csv                      TLCache-BMR cache size       35MiB, 1000001 req, miss ratio 0.7519, byte miss ratio 0.8895
result/tencentBlock.ns12217.csv                      TLCache-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3422, byte miss ratio 0.3175
result/tencentBlock.ns12217.csv                              LHD cache size       35MiB, 1000001 req, miss ratio 0.6977, byte miss ratio 0.9111
result/tencentBlock.ns12217.csv                              LHD cache size     3552MiB, 1000001 req, miss ratio 0.3331, byte miss ratio 0.3437
result/tencentBlock.ns12217.csv                              LRU cache size       35MiB, 1000001 req, miss ratio 0.7843, byte miss ratio 0.9131
result/tencentBlock.ns12217.csv                              LRU cache size     3552MiB, 1000001 req, miss ratio 0.3413, byte miss ratio 0.3171
result/tencentBlock.ns12217.csv                            Sieve cache size       35MiB, 1000001 req, miss ratio 0.7620, byte miss ratio 0.8928
result/tencentBlock.ns12217.csv                            Sieve cache size     3552MiB, 1000001 req, miss ratio 0.3444, byte miss ratio 0.3250
result/tencentBlock.ns12217.csv                              ARC cache size       35MiB, 1000001 req, miss ratio 0.7718, byte miss ratio 0.8831
result/tencentBlock.ns12217.csv                              ARC cache size     3552MiB, 1000001 req, miss ratio 0.3442, byte miss ratio 0.3251
result/tencentBlock.ns12217.csv                            LeCaR cache size       35MiB, 1000001 req, miss ratio 0.7707, byte miss ratio 0.9063
result/tencentBlock.ns12217.csv                            LeCaR cache size     3552MiB, 1000001 req, miss ratio 0.3415, byte miss ratio 0.3172
result/tencentBlock.ns12217.csv                             GDSF cache size       35MiB, 1000001 req, miss ratio 0.6858, byte miss ratio 0.9085
result/tencentBlock.ns12217.csv                             GDSF cache size     3552MiB, 1000001 req, miss ratio 0.3261, byte miss ratio 0.3583
result/tencentBlock.ns12217.csv                  S3FIFO-0.1000-2 cache size       35MiB, 1000001 req, miss ratio 0.7607, byte miss ratio 0.8815
result/tencentBlock.ns12217.csv                  S3FIFO-0.1000-2 cache size     3552MiB, 1000001 req, miss ratio 0.3518, byte miss ratio 0.3387
result/tencentBlock.ns12217.csv                              LHD cache size       35MiB, 1000001 req, miss ratio 0.6977, byte miss ratio 0.9111
result/tencentBlock.ns12217.csv                              LHD cache size     3552MiB, 1000001 req, miss ratio 0.3331, byte miss ratio 0.3437
result/tencentBlock.ns12217.csv                      TLCache-BMR cache size       35MiB, 1000001 req, miss ratio 0.7519, byte miss ratio 0.8895
result/tencentBlock.ns12217.csv                      TLCache-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3422, byte miss ratio 0.3175
result/tencentBlock.ns12217.csv                    TLCacheQL-BMR cache size       35MiB, 1000001 req, miss ratio 0.7547, byte miss ratio 0.8981
result/tencentBlock.ns12217.csv                    TLCacheQL-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3423, byte miss ratio 0.3188
result/tencentBlock.ns12217.csv                              ARC cache size       35MiB, 1000001 req, miss ratio 0.7718, byte miss ratio 0.8831
result/tencentBlock.ns12217.csv                              ARC cache size     3552MiB, 1000001 req, miss ratio 0.3442, byte miss ratio 0.3251
result/tencentBlock.ns12217.csv                            Sieve cache size       35MiB, 1000001 req, miss ratio 0.7620, byte miss ratio 0.8928
result/tencentBlock.ns12217.csv                            Sieve cache size     3552MiB, 1000001 req, miss ratio 0.3444, byte miss ratio 0.3250
result/tencentBlock.ns12217.csv                            LeCaR cache size       35MiB, 1000001 req, miss ratio 0.7707, byte miss ratio 0.9063
result/tencentBlock.ns12217.csv                            LeCaR cache size     3552MiB, 1000001 req, miss ratio 0.3415, byte miss ratio 0.3172
result/tencentBlock.ns12217.csv                              LRU cache size       35MiB, 1000001 req, miss ratio 0.7843, byte miss ratio 0.9131
result/tencentBlock.ns12217.csv                              LRU cache size     3552MiB, 1000001 req, miss ratio 0.3413, byte miss ratio 0.3171
result/tencentBlock.ns12217.csv                             GDSF cache size       35MiB, 1000001 req, miss ratio 0.6858, byte miss ratio 0.9085
result/tencentBlock.ns12217.csv                             GDSF cache size     3552MiB, 1000001 req, miss ratio 0.3261, byte miss ratio 0.3583
result/tencentBlock.ns12217.csv                    TLCacheQL-BMR cache size       35MiB, 1000001 req, miss ratio 0.7547, byte miss ratio 0.8981
result/tencentBlock.ns12217.csv                    TLCacheQL-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3423, byte miss ratio 0.3188
result/tencentBlock.ns12217.csv                      TLCache-BMR cache size       35MiB, 1000001 req, miss ratio 0.7519, byte miss ratio 0.8895
result/tencentBlock.ns12217.csv                      TLCache-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3422, byte miss ratio 0.3175
result/tencentBlock.ns12217.csv                              LHD cache size       35MiB, 1000001 req, miss ratio 0.6977, byte miss ratio 0.9111
result/tencentBlock.ns12217.csv                              LHD cache size     3552MiB, 1000001 req, miss ratio 0.3331, byte miss ratio 0.3437
result/tencentBlock.ns12217.csv                              LRU cache size       35MiB, 1000001 req, miss ratio 0.7843, byte miss ratio 0.9131
result/tencentBlock.ns12217.csv                              LRU cache size     3552MiB, 1000001 req, miss ratio 0.3413, byte miss ratio 0.3171
result/tencentBlock.ns12217.csv                              ARC cache size       35MiB, 1000001 req, miss ratio 0.7718, byte miss ratio 0.8831
result/tencentBlock.ns12217.csv                              ARC cache size     3552MiB, 1000001 req, miss ratio 0.3442, byte miss ratio 0.3251
result/tencentBlock.ns12217.csv                            LeCaR cache size       35MiB, 1000001 req, miss ratio 0.7707, byte miss ratio 0.9063
result/tencentBlock.ns12217.csv                            LeCaR cache size     3552MiB, 1000001 req, miss ratio 0.3415, byte miss ratio 0.3172
result/tencentBlock.ns12217.csv                            Sieve cache size       35MiB, 1000001 req, miss ratio 0.7620, byte miss ratio 0.8928
result/tencentBlock.ns12217.csv                            Sieve cache size     3552MiB, 1000001 req, miss ratio 0.3444, byte miss ratio 0.3250
result/tencentBlock.ns12217.csv                  S3FIFO-0.1000-2 cache size       35MiB, 1000001 req, miss ratio 0.7607, byte miss ratio 0.8815
result/tencentBlock.ns12217.csv                  S3FIFO-0.1000-2 cache size     3552MiB, 1000001 req, miss ratio 0.3518, byte miss ratio 0.3387
result/tencentBlock.ns12217.csv                             GDSF cache size       35MiB, 1000001 req, miss ratio 0.6858, byte miss ratio 0.9085
result/tencentBlock.ns12217.csv                             GDSF cache size     3552MiB, 1000001 req, miss ratio 0.3261, byte miss ratio 0.3583
result/tencentBlock.ns12217.csv                          LRB-BMR cache size       35MiB, 1000001 req, miss ratio 0.7903, byte miss ratio 0.8774
result/tencentBlock.ns12217.csv                          LRB-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3413, byte miss ratio 0.3170
result/tencentBlock.ns12217.csv                    TLCacheQL-BMR cache size       35MiB, 1000001 req, miss ratio 0.7547, byte miss ratio 0.8981
result/tencentBlock.ns12217.csv                    TLCacheQL-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3423, byte miss ratio 0.3188
result/tencentBlock.ns12217.csv                      TLCache-BMR cache size       35MiB, 1000001 req, miss ratio 0.7519, byte miss ratio 0.8895
result/tencentBlock.ns12217.csv                      TLCache-BMR cache size     3552MiB, 1000001 req, miss ratio 0.3422, byte miss ratio 0.3175
result/tencentBlock.ns12217.csv                              LHD cache size       35MiB, 1000001 req, miss ratio 0.6977, byte miss ratio 0.9111
