result/tencentBlock.ns12300.csv                              LHD cache size       77MiB, 1000001 req, miss ratio 0.2714, byte miss ratio 0.4322
result/tencentBlock.ns12300.csv                              LHD cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size       77MiB, 1000001 req, miss ratio 0.2616, byte miss ratio 0.3480
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size       77MiB, 1000001 req, miss ratio 0.2630, byte miss ratio 0.3481
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              ARC cache size       77MiB, 1000001 req, miss ratio 0.2889, byte miss ratio 0.3575
result/tencentBlock.ns12300.csv                              ARC cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            Sieve cache size       77MiB, 1000001 req, miss ratio 0.2710, byte miss ratio 0.3534
result/tencentBlock.ns12300.csv                            Sieve cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            LeCaR cache size       77MiB, 1000001 req, miss ratio 0.2824, byte miss ratio 0.3558
result/tencentBlock.ns12300.csv                            LeCaR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LRU cache size       77MiB, 1000001 req, miss ratio 0.2902, byte miss ratio 0.3587
result/tencentBlock.ns12300.csv                              LRU cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size       77MiB, 1000001 req, miss ratio 0.2651, byte miss ratio 0.3494
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                             GDSF cache size       77MiB, 1000001 req, miss ratio 0.2611, byte miss ratio 0.3535
result/tencentBlock.ns12300.csv                             GDSF cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LHD cache size       77MiB, 1000001 req, miss ratio 0.2714, byte miss ratio 0.4322
result/tencentBlock.ns12300.csv                              LHD cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size       77MiB, 1000001 req, miss ratio 0.2616, byte miss ratio 0.3480
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size       77MiB, 1000001 req, miss ratio 0.2630, byte miss ratio 0.3481
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LRU cache size       77MiB, 1000001 req, miss ratio 0.2902, byte miss ratio 0.3587
result/tencentBlock.ns12300.csv                              LRU cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            Sieve cache size       77MiB, 1000001 req, miss ratio 0.2710, byte miss ratio 0.3534
result/tencentBlock.ns12300.csv                            Sieve cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            LeCaR cache size       77MiB, 1000001 req, miss ratio 0.2824, byte miss ratio 0.3558
result/tencentBlock.ns12300.csv                            LeCaR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              ARC cache size       77MiB, 1000001 req, miss ratio 0.2889, byte miss ratio 0.3575
result/tencentBlock.ns12300.csv                              ARC cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                             GDSF cache size       77MiB, 1000001 req, miss ratio 0.2611, byte miss ratio 0.3535
result/tencentBlock.ns12300.csv                             GDSF cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size       77MiB, 1000001 req, miss ratio 0.2651, byte miss ratio 0.3494
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LHD cache size       77MiB, 1000001 req, miss ratio 0.2714, byte miss ratio 0.4322
result/tencentBlock.ns12300.csv                              LHD cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size       77MiB, 1000001 req, miss ratio 0.2630, byte miss ratio 0.3481
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size       77MiB, 1000001 req, miss ratio 0.2616, byte miss ratio 0.3480
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LHD cache size       77MiB, 1000001 req, miss ratio 0.2714, byte miss ratio 0.4322
result/tencentBlock.ns12300.csv                              LHD cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            LeCaR cache size       77MiB, 1000001 req, miss ratio 0.2824, byte miss ratio 0.3558
result/tencentBlock.ns12300.csv                            LeCaR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LRU cache size       77MiB, 1000001 req, miss ratio 0.2902, byte miss ratio 0.3587
result/tencentBlock.ns12300.csv                              LRU cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            Sieve cache size       77MiB, 1000001 req, miss ratio 0.2710, byte miss ratio 0.3534
result/tencentBlock.ns12300.csv                            Sieve cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                          LRB-BMR cache size       77MiB, 1000001 req, miss ratio 0.2886, byte miss ratio 0.3579
result/tencentBlock.ns12300.csv                          LRB-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              ARC cache size       77MiB, 1000001 req, miss ratio 0.2889, byte miss ratio 0.3575
result/tencentBlock.ns12300.csv                              ARC cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size       77MiB, 1000001 req, miss ratio 0.2651, byte miss ratio 0.3494
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                             GDSF cache size       77MiB, 1000001 req, miss ratio 0.2611, byte miss ratio 0.3535
result/tencentBlock.ns12300.csv                             GDSF cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size       77MiB, 1000001 req, miss ratio 0.2630, byte miss ratio 0.3481
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size       77MiB, 1000001 req, miss ratio 0.2616, byte miss ratio 0.3480
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LRU cache size       77MiB, 1000001 req, miss ratio 0.2902, byte miss ratio 0.3587
result/tencentBlock.ns12300.csv                              LRU cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LHD cache size       77MiB, 1000001 req, miss ratio 0.2714, byte miss ratio 0.4322
result/tencentBlock.ns12300.csv                              LHD cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            LeCaR cache size       77MiB, 1000001 req, miss ratio 0.2824, byte miss ratio 0.3558
result/tencentBlock.ns12300.csv                            LeCaR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            Sieve cache size       77MiB, 1000001 req, miss ratio 0.2710, byte miss ratio 0.3534
result/tencentBlock.ns12300.csv                            Sieve cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              ARC cache size       77MiB, 1000001 req, miss ratio 0.2889, byte miss ratio 0.3575
result/tencentBlock.ns12300.csv                              ARC cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                          LRB-BMR cache size       77MiB, 1000001 req, miss ratio 0.2886, byte miss ratio 0.3579
result/tencentBlock.ns12300.csv                          LRB-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size       77MiB, 1000001 req, miss ratio 0.2651, byte miss ratio 0.3494
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                             GDSF cache size       77MiB, 1000001 req, miss ratio 0.2611, byte miss ratio 0.3535
result/tencentBlock.ns12300.csv                             GDSF cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size       77MiB, 1000001 req, miss ratio 0.2616, byte miss ratio 0.3480
result/tencentBlock.ns12300.csv                      TLCache-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size       77MiB, 1000001 req, miss ratio 0.2630, byte miss ratio 0.3481
result/tencentBlock.ns12300.csv                    TLCacheQL-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LHD cache size       77MiB, 1000001 req, miss ratio 0.2714, byte miss ratio 0.4322
result/tencentBlock.ns12300.csv                              LHD cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              LRU cache size       77MiB, 1000001 req, miss ratio 0.2902, byte miss ratio 0.3587
result/tencentBlock.ns12300.csv                              LRU cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                              ARC cache size       77MiB, 1000001 req, miss ratio 0.2889, byte miss ratio 0.3575
result/tencentBlock.ns12300.csv                              ARC cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            LeCaR cache size       77MiB, 1000001 req, miss ratio 0.2824, byte miss ratio 0.3558
result/tencentBlock.ns12300.csv                            LeCaR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                            Sieve cache size       77MiB, 1000001 req, miss ratio 0.2710, byte miss ratio 0.3534
result/tencentBlock.ns12300.csv                            Sieve cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                          LRB-BMR cache size       77MiB, 1000001 req, miss ratio 0.2886, byte miss ratio 0.3579
result/tencentBlock.ns12300.csv                          LRB-BMR cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                             GDSF cache size       77MiB, 1000001 req, miss ratio 0.2611, byte miss ratio 0.3535
result/tencentBlock.ns12300.csv                             GDSF cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size       77MiB, 1000001 req, miss ratio 0.2651, byte miss ratio 0.3494
result/tencentBlock.ns12300.csv                  S3FIFO-0.1000-2 cache size     7735MiB, 1000001 req, miss ratio 0.1755, byte miss ratio 0.2592
