result/tencentBlock.ns20627.csv                      TLCache-BMR cache size      101MiB, 1000001 req, miss ratio 0.8260, byte miss ratio 0.6999
result/tencentBlock.ns20627.csv                      TLCache-BMR cache size    10167MiB, 1000001 req, miss ratio 0.5905, byte miss ratio 0.4577
result/tencentBlock.ns20627.csv                    TLCacheQL-BMR cache size      101MiB, 1000001 req, miss ratio 0.8256, byte miss ratio 0.7045
result/tencentBlock.ns20627.csv                    TLCacheQL-BMR cache size    10167MiB, 1000001 req, miss ratio 0.5905, byte miss ratio 0.4577
result/tencentBlock.ns20627.csv                              LHD cache size      101MiB, 1000001 req, miss ratio 0.8240, byte miss ratio 0.9045
result/tencentBlock.ns20627.csv                              LHD cache size    10167MiB, 1000001 req, miss ratio 0.5832, byte miss ratio 0.4596
result/tencentBlock.ns20627.csv                            LeCaR cache size      101MiB, 1000001 req, miss ratio 0.8297, byte miss ratio 0.7307
result/tencentBlock.ns20627.csv                            LeCaR cache size    10167MiB, 1000001 req, miss ratio 0.5904, byte miss ratio 0.4577
result/tencentBlock.ns20627.csv                              ARC cache size      101MiB, 1000001 req, miss ratio 0.8211, byte miss ratio 0.6871
result/tencentBlock.ns20627.csv                              ARC cache size    10167MiB, 1000001 req, miss ratio 0.5892, byte miss ratio 0.4566
result/tencentBlock.ns20627.csv                              LRU cache size      101MiB, 1000001 req, miss ratio 0.8458, byte miss ratio 0.7746
result/tencentBlock.ns20627.csv                              LRU cache size    10167MiB, 1000001 req, miss ratio 0.5905, byte miss ratio 0.4577
result/tencentBlock.ns20627.csv                            Sieve cache size      101MiB, 1000001 req, miss ratio 0.8276, byte miss ratio 0.7030
result/tencentBlock.ns20627.csv                            Sieve cache size    10167MiB, 1000001 req, miss ratio 0.5892, byte miss ratio 0.4566
result/tencentBlock.ns20627.csv                             GDSF cache size      101MiB, 1000001 req, miss ratio 0.8171, byte miss ratio 0.9026
result/tencentBlock.ns20627.csv                             GDSF cache size    10167MiB, 1000001 req, miss ratio 0.5815, byte miss ratio 0.4593
result/tencentBlock.ns20627.csv                  S3FIFO-0.1000-2 cache size      101MiB, 1000001 req, miss ratio 0.8184, byte miss ratio 0.6752
result/tencentBlock.ns20627.csv                  S3FIFO-0.1000-2 cache size    10167MiB, 1000001 req, miss ratio 0.6047, byte miss ratio 0.4680
result/tencentBlock.ns20627.csv                          Cacheus cache size      101MiB, 1000001 req, miss ratio 0.8214, byte miss ratio 0.7106
