result/tencentBlock.ns21025.csv                              LRU cache size       65MiB, 1000001 req, miss ratio 0.9905, byte miss ratio 0.9998
result/tencentBlock.ns21025.csv                              LRU cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              ARC cache size       65MiB, 1000001 req, miss ratio 0.9878, byte miss ratio 0.9991
result/tencentBlock.ns21025.csv                              ARC cache size     6599MiB, 1000001 req, miss ratio 0.0637, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                            LeCaR cache size       65MiB, 1000001 req, miss ratio 0.9903, byte miss ratio 0.9998
result/tencentBlock.ns21025.csv                            LeCaR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              LHD cache size       65MiB, 1000001 req, miss ratio 0.7056, byte miss ratio 0.9311
result/tencentBlock.ns21025.csv                              LHD cache size     6599MiB, 1000001 req, miss ratio 0.0623, byte miss ratio 0.0328
result/tencentBlock.ns21025.csv                      TLCache-BMR cache size       65MiB, 1000001 req, miss ratio 0.8707, byte miss ratio 0.8722
result/tencentBlock.ns21025.csv                      TLCache-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                    TLCacheQL-BMR cache size       65MiB, 1000001 req, miss ratio 0.8621, byte miss ratio 0.8582
result/tencentBlock.ns21025.csv                    TLCacheQL-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                  S3FIFO-0.1000-2 cache size       65MiB, 1000001 req, miss ratio 0.8290, byte miss ratio 0.8270
result/tencentBlock.ns21025.csv                  S3FIFO-0.1000-2 cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0327
result/tencentBlock.ns21025.csv                            Sieve cache size       65MiB, 1000001 req, miss ratio 0.9458, byte miss ratio 0.9950
result/tencentBlock.ns21025.csv                            Sieve cache size     6599MiB, 1000001 req, miss ratio 0.0637, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                             GDSF cache size       65MiB, 1000001 req, miss ratio 0.7539, byte miss ratio 0.9709
result/tencentBlock.ns21025.csv                             GDSF cache size     6599MiB, 1000001 req, miss ratio 0.0621, byte miss ratio 0.0325
result/tencentBlock.ns21025.csv                              LRU cache size       65MiB, 1000001 req, miss ratio 0.9905, byte miss ratio 0.9998
result/tencentBlock.ns21025.csv                              LRU cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              ARC cache size       65MiB, 1000001 req, miss ratio 0.9878, byte miss ratio 0.9991
result/tencentBlock.ns21025.csv                              ARC cache size     6599MiB, 1000001 req, miss ratio 0.0637, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                    TLCacheQL-BMR cache size       65MiB, 1000001 req, miss ratio 0.8621, byte miss ratio 0.8582
result/tencentBlock.ns21025.csv                    TLCacheQL-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                            LeCaR cache size       65MiB, 1000001 req, miss ratio 0.9903, byte miss ratio 0.9998
result/tencentBlock.ns21025.csv                            LeCaR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              LHD cache size       65MiB, 1000001 req, miss ratio 0.7056, byte miss ratio 0.9311
result/tencentBlock.ns21025.csv                              LHD cache size     6599MiB, 1000001 req, miss ratio 0.0623, byte miss ratio 0.0328
result/tencentBlock.ns21025.csv                      TLCache-BMR cache size       65MiB, 1000001 req, miss ratio 0.8707, byte miss ratio 0.8722
result/tencentBlock.ns21025.csv                      TLCache-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                  S3FIFO-0.1000-2 cache size       65MiB, 1000001 req, miss ratio 0.8290, byte miss ratio 0.8270
result/tencentBlock.ns21025.csv                  S3FIFO-0.1000-2 cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0327
result/tencentBlock.ns21025.csv                            Sieve cache size       65MiB, 1000001 req, miss ratio 0.9458, byte miss ratio 0.9950
result/tencentBlock.ns21025.csv                            Sieve cache size     6599MiB, 1000001 req, miss ratio 0.0637, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                             GDSF cache size       65MiB, 1000001 req, miss ratio 0.7539, byte miss ratio 0.9709
result/tencentBlock.ns21025.csv                             GDSF cache size     6599MiB, 1000001 req, miss ratio 0.0621, byte miss ratio 0.0325
result/tencentBlock.ns21025.csv                          Cacheus cache size       65MiB, 1000001 req, miss ratio 0.9421, byte miss ratio 0.9940
result/tencentBlock.ns21025.csv                          Cacheus cache size     6599MiB, 1000001 req, miss ratio 0.0639, byte miss ratio 0.0330
result/tencentBlock.ns21025.csv                      TLCache-BMR cache size       65MiB, 1000001 req, miss ratio 0.8707, byte miss ratio 0.8722
result/tencentBlock.ns21025.csv                      TLCache-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                    TLCacheQL-BMR cache size       65MiB, 1000001 req, miss ratio 0.8621, byte miss ratio 0.8582
result/tencentBlock.ns21025.csv                    TLCacheQL-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              LRU cache size       65MiB, 1000001 req, miss ratio 0.9905, byte miss ratio 0.9998
result/tencentBlock.ns21025.csv                              LRU cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              LHD cache size       65MiB, 1000001 req, miss ratio 0.7056, byte miss ratio 0.9311
result/tencentBlock.ns21025.csv                              LHD cache size     6599MiB, 1000001 req, miss ratio 0.0623, byte miss ratio 0.0328
result/tencentBlock.ns21025.csv                              ARC cache size       65MiB, 1000001 req, miss ratio 0.9878, byte miss ratio 0.9991
result/tencentBlock.ns21025.csv                              ARC cache size     6599MiB, 1000001 req, miss ratio 0.0637, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                            LeCaR cache size       65MiB, 1000001 req, miss ratio 0.9903, byte miss ratio 0.9998
result/tencentBlock.ns21025.csv                            LeCaR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                            Sieve cache size       65MiB, 1000001 req, miss ratio 0.9458, byte miss ratio 0.9950
result/tencentBlock.ns21025.csv                            Sieve cache size     6599MiB, 1000001 req, miss ratio 0.0637, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                  S3FIFO-0.1000-2 cache size       65MiB, 1000001 req, miss ratio 0.8290, byte miss ratio 0.8270
result/tencentBlock.ns21025.csv                  S3FIFO-0.1000-2 cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0327
result/tencentBlock.ns21025.csv                             GDSF cache size       65MiB, 1000001 req, miss ratio 0.7539, byte miss ratio 0.9709
result/tencentBlock.ns21025.csv                             GDSF cache size     6599MiB, 1000001 req, miss ratio 0.0621, byte miss ratio 0.0325
result/tencentBlock.ns21025.csv                          Cacheus cache size       65MiB, 1000001 req, miss ratio 0.9421, byte miss ratio 0.9940
result/tencentBlock.ns21025.csv                          Cacheus cache size     6599MiB, 1000001 req, miss ratio 0.0639, byte miss ratio 0.0330
result/tencentBlock.ns21025.csv                          LRB-BMR cache size       65MiB, 1000001 req, miss ratio 0.8863, byte miss ratio 0.8898
result/tencentBlock.ns21025.csv                          LRB-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              LRU cache size       65MiB, 1000001 req, miss ratio 0.9905, byte miss ratio 0.9998
result/tencentBlock.ns21025.csv                              LRU cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                      TLCache-BMR cache size       65MiB, 1000001 req, miss ratio 0.8707, byte miss ratio 0.8722
result/tencentBlock.ns21025.csv                      TLCache-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                    TLCacheQL-BMR cache size       65MiB, 1000001 req, miss ratio 0.8621, byte miss ratio 0.8582
result/tencentBlock.ns21025.csv                    TLCacheQL-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              ARC cache size       65MiB, 1000001 req, miss ratio 0.9878, byte miss ratio 0.9991
result/tencentBlock.ns21025.csv                              ARC cache size     6599MiB, 1000001 req, miss ratio 0.0637, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                              LHD cache size       65MiB, 1000001 req, miss ratio 0.7056, byte miss ratio 0.9311
result/tencentBlock.ns21025.csv                              LHD cache size     6599MiB, 1000001 req, miss ratio 0.0623, byte miss ratio 0.0328
result/tencentBlock.ns21025.csv                            LeCaR cache size       65MiB, 1000001 req, miss ratio 0.9903, byte miss ratio 0.9998
result/tencentBlock.ns21025.csv                            LeCaR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                            Sieve cache size       65MiB, 1000001 req, miss ratio 0.9458, byte miss ratio 0.9950
result/tencentBlock.ns21025.csv                            Sieve cache size     6599MiB, 1000001 req, miss ratio 0.0637, byte miss ratio 0.0326
result/tencentBlock.ns21025.csv                  S3FIFO-0.1000-2 cache size       65MiB, 1000001 req, miss ratio 0.8290, byte miss ratio 0.8270
result/tencentBlock.ns21025.csv                  S3FIFO-0.1000-2 cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0327
result/tencentBlock.ns21025.csv                             GDSF cache size       65MiB, 1000001 req, miss ratio 0.7539, byte miss ratio 0.9709
result/tencentBlock.ns21025.csv                             GDSF cache size     6599MiB, 1000001 req, miss ratio 0.0621, byte miss ratio 0.0325
result/tencentBlock.ns21025.csv                          Cacheus cache size       65MiB, 1000001 req, miss ratio 0.9421, byte miss ratio 0.9940
result/tencentBlock.ns21025.csv                          Cacheus cache size     6599MiB, 1000001 req, miss ratio 0.0639, byte miss ratio 0.0330
result/tencentBlock.ns21025.csv                          LRB-BMR cache size       65MiB, 1000001 req, miss ratio 0.8863, byte miss ratio 0.8898
result/tencentBlock.ns21025.csv                          LRB-BMR cache size     6599MiB, 1000001 req, miss ratio 0.0633, byte miss ratio 0.0326
