result/tencentBlock.ns8809.csv                      TLCache-BMR cache size       39MiB, 1000001 req, miss ratio 0.7346, byte miss ratio 0.8677
result/tencentBlock.ns8809.csv                      TLCache-BMR cache size     3909MiB, 1000001 req, miss ratio 0.3023, byte miss ratio 0.2647
result/tencentBlock.ns8809.csv                    TLCacheQL-BMR cache size       39MiB, 1000001 req, miss ratio 0.7339, byte miss ratio 0.8785
result/tencentBlock.ns8809.csv                    TLCacheQL-BMR cache size     3909MiB, 1000001 req, miss ratio 0.3023, byte miss ratio 0.2647
result/tencentBlock.ns8809.csv                              LHD cache size       39MiB, 1000001 req, miss ratio 0.6844, byte miss ratio 0.8997
result/tencentBlock.ns8809.csv                              LHD cache size     3909MiB, 1000001 req, miss ratio 0.3000, byte miss ratio 0.2703
result/tencentBlock.ns8809.csv                              LRU cache size       39MiB, 1000001 req, miss ratio 0.7708, byte miss ratio 0.9037
result/tencentBlock.ns8809.csv                              LRU cache size     3909MiB, 1000001 req, miss ratio 0.3023, byte miss ratio 0.2647
result/tencentBlock.ns8809.csv                              ARC cache size       39MiB, 1000001 req, miss ratio 0.7546, byte miss ratio 0.8751
result/tencentBlock.ns8809.csv                              ARC cache size     3909MiB, 1000001 req, miss ratio 0.3024, byte miss ratio 0.2652
result/tencentBlock.ns8809.csv                            Sieve cache size       39MiB, 1000001 req, miss ratio 0.7473, byte miss ratio 0.8863
result/tencentBlock.ns8809.csv                            Sieve cache size     3909MiB, 1000001 req, miss ratio 0.3024, byte miss ratio 0.2652
result/tencentBlock.ns8809.csv                            LeCaR cache size       39MiB, 1000001 req, miss ratio 0.7533, byte miss ratio 0.8938
result/tencentBlock.ns8809.csv                            LeCaR cache size     3909MiB, 1000001 req, miss ratio 0.3023, byte miss ratio 0.2647
result/tencentBlock.ns8809.csv                             GDSF cache size       39MiB, 1000001 req, miss ratio 0.6710, byte miss ratio 0.8982
result/tencentBlock.ns8809.csv                             GDSF cache size     3909MiB, 1000001 req, miss ratio 0.2971, byte miss ratio 0.2692
result/tencentBlock.ns8809.csv                    TLCacheQL-BMR cache size       39MiB, 1000001 req, miss ratio 0.7339, byte miss ratio 0.8785
result/tencentBlock.ns8809.csv                    TLCacheQL-BMR cache size     3909MiB, 1000001 req, miss ratio 0.3023, byte miss ratio 0.2647
result/tencentBlock.ns8809.csv                      TLCache-BMR cache size       39MiB, 1000001 req, miss ratio 0.7346, byte miss ratio 0.8677
result/tencentBlock.ns8809.csv                      TLCache-BMR cache size     3909MiB, 1000001 req, miss ratio 0.3023, byte miss ratio 0.2647
result/tencentBlock.ns8809.csv                              LHD cache size       39MiB, 1000001 req, miss ratio 0.6844, byte miss ratio 0.8997
result/tencentBlock.ns8809.csv                              LHD cache size     3909MiB, 1000001 req, miss ratio 0.3000, byte miss ratio 0.2703
result/tencentBlock.ns8809.csv                              LRU cache size       39MiB, 1000001 req, miss ratio 0.7708, byte miss ratio 0.9037
result/tencentBlock.ns8809.csv                              LRU cache size     3909MiB, 1000001 req, miss ratio 0.3023, byte miss ratio 0.2647
result/tencentBlock.ns8809.csv                              ARC cache size       39MiB, 1000001 req, miss ratio 0.7546, byte miss ratio 0.8751
