result/w100.csv                    TLCacheQL-BMR cache size       51MiB, 1000001 req, miss ratio 0.7754, byte miss ratio 0.9556
result/w100.csv                    TLCacheQL-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6716, byte miss ratio 0.8885
result/w100.csv                      TLCache-BMR cache size       51MiB, 1000001 req, miss ratio 0.7550, byte miss ratio 0.9513
result/w100.csv                      TLCache-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6715, byte miss ratio 0.8878
result/w100.csv                              LHD cache size       51MiB, 1000001 req, miss ratio 0.7511, byte miss ratio 0.9520
result/w100.csv                              LHD cache size     5143MiB, 1000001 req, miss ratio 0.6451, byte miss ratio 0.8887
result/w100.csv                              LRU cache size       51MiB, 1000001 req, miss ratio 0.7990, byte miss ratio 0.9604
result/w100.csv                              LRU cache size     5143MiB, 1000001 req, miss ratio 0.6747, byte miss ratio 0.8904
result/w100.csv                            Sieve cache size       51MiB, 1000001 req, miss ratio 0.7577, byte miss ratio 0.9519
result/w100.csv                            Sieve cache size     5143MiB, 1000001 req, miss ratio 0.6651, byte miss ratio 0.8804
result/w100.csv                              ARC cache size       51MiB, 1000001 req, miss ratio 0.7715, byte miss ratio 0.9540
result/w100.csv                              ARC cache size     5143MiB, 1000001 req, miss ratio 0.6649, byte miss ratio 0.8800
result/w100.csv                            LeCaR cache size       51MiB, 1000001 req, miss ratio 0.7833, byte miss ratio 0.9571
result/w100.csv                            LeCaR cache size     5143MiB, 1000001 req, miss ratio 0.6737, byte miss ratio 0.8889
result/w100.csv                             GDSF cache size       51MiB, 1000001 req, miss ratio 0.7288, byte miss ratio 0.9472
result/w100.csv                             GDSF cache size     5143MiB, 1000001 req, miss ratio 0.6353, byte miss ratio 0.8813
result/w100.csv                      TLCache-BMR cache size       51MiB, 1000001 req, miss ratio 0.7550, byte miss ratio 0.9513
result/w100.csv                      TLCache-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6715, byte miss ratio 0.8878
result/w100.csv                    TLCacheQL-BMR cache size       51MiB, 1000001 req, miss ratio 0.7754, byte miss ratio 0.9556
result/w100.csv                    TLCacheQL-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6716, byte miss ratio 0.8885
result/w100.csv                              LHD cache size       51MiB, 1000001 req, miss ratio 0.7511, byte miss ratio 0.9520
result/w100.csv                              LHD cache size     5143MiB, 1000001 req, miss ratio 0.6451, byte miss ratio 0.8887
result/w100.csv                            LeCaR cache size       51MiB, 1000001 req, miss ratio 0.7833, byte miss ratio 0.9571
result/w100.csv                            LeCaR cache size     5143MiB, 1000001 req, miss ratio 0.6737, byte miss ratio 0.8889
result/w100.csv                            Sieve cache size       51MiB, 1000001 req, miss ratio 0.7577, byte miss ratio 0.9519
result/w100.csv                            Sieve cache size     5143MiB, 1000001 req, miss ratio 0.6651, byte miss ratio 0.8804
result/w100.csv                              ARC cache size       51MiB, 1000001 req, miss ratio 0.7715, byte miss ratio 0.9540
result/w100.csv                              ARC cache size     5143MiB, 1000001 req, miss ratio 0.6649, byte miss ratio 0.8800
result/w100.csv                              LRU cache size       51MiB, 1000001 req, miss ratio 0.7990, byte miss ratio 0.9604
result/w100.csv                              LRU cache size     5143MiB, 1000001 req, miss ratio 0.6747, byte miss ratio 0.8904
result/w100.csv                             GDSF cache size       51MiB, 1000001 req, miss ratio 0.7288, byte miss ratio 0.9472
result/w100.csv                             GDSF cache size     5143MiB, 1000001 req, miss ratio 0.6353, byte miss ratio 0.8813
result/w100.csv                      TLCache-BMR cache size       51MiB, 1000001 req, miss ratio 0.7550, byte miss ratio 0.9513
result/w100.csv                      TLCache-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6715, byte miss ratio 0.8878
result/w100.csv                    TLCacheQL-BMR cache size       51MiB, 1000001 req, miss ratio 0.7754, byte miss ratio 0.9556
result/w100.csv                    TLCacheQL-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6716, byte miss ratio 0.8885
result/w100.csv                              LHD cache size       51MiB, 1000001 req, miss ratio 0.7511, byte miss ratio 0.9520
result/w100.csv                              LHD cache size     5143MiB, 1000001 req, miss ratio 0.6451, byte miss ratio 0.8887
result/w100.csv                              ARC cache size       51MiB, 1000001 req, miss ratio 0.7715, byte miss ratio 0.9540
result/w100.csv                              ARC cache size     5143MiB, 1000001 req, miss ratio 0.6649, byte miss ratio 0.8800
result/w100.csv                              LRU cache size       51MiB, 1000001 req, miss ratio 0.7990, byte miss ratio 0.9604
result/w100.csv                              LRU cache size     5143MiB, 1000001 req, miss ratio 0.6747, byte miss ratio 0.8904
result/w100.csv                            Sieve cache size       51MiB, 1000001 req, miss ratio 0.7577, byte miss ratio 0.9519
result/w100.csv                            Sieve cache size     5143MiB, 1000001 req, miss ratio 0.6651, byte miss ratio 0.8804
result/w100.csv                            LeCaR cache size       51MiB, 1000001 req, miss ratio 0.7833, byte miss ratio 0.9571
result/w100.csv                            LeCaR cache size     5143MiB, 1000001 req, miss ratio 0.6737, byte miss ratio 0.8889
result/w100.csv                             GDSF cache size       51MiB, 1000001 req, miss ratio 0.7288, byte miss ratio 0.9472
result/w100.csv                             GDSF cache size     5143MiB, 1000001 req, miss ratio 0.6353, byte miss ratio 0.8813
result/w100.csv                  S3FIFO-0.1000-2 cache size       51MiB, 1000001 req, miss ratio 0.7436, byte miss ratio 0.9483
result/w100.csv                  S3FIFO-0.1000-2 cache size     5143MiB, 1000001 req, miss ratio 0.6466, byte miss ratio 0.8708
result/w100.csv                          LRB-BMR cache size       51MiB, 1000001 req, miss ratio 0.7794, byte miss ratio 0.9555
result/w100.csv                          LRB-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6747, byte miss ratio 0.8904
result/w100.csv                    TLCacheQL-BMR cache size       51MiB, 1000001 req, miss ratio 0.7754, byte miss ratio 0.9556
result/w100.csv                    TLCacheQL-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6716, byte miss ratio 0.8885
result/w100.csv                      TLCache-BMR cache size       51MiB, 1000001 req, miss ratio 0.7550, byte miss ratio 0.9513
result/w100.csv                      TLCache-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6715, byte miss ratio 0.8878
result/w100.csv                              LHD cache size       51MiB, 1000001 req, miss ratio 0.7511, byte miss ratio 0.9520
result/w100.csv                              LHD cache size     5143MiB, 1000001 req, miss ratio 0.6451, byte miss ratio 0.8887
result/w100.csv                            LeCaR cache size       51MiB, 1000001 req, miss ratio 0.7833, byte miss ratio 0.9571
result/w100.csv                            LeCaR cache size     5143MiB, 1000001 req, miss ratio 0.6737, byte miss ratio 0.8889
result/w100.csv                              ARC cache size       51MiB, 1000001 req, miss ratio 0.7715, byte miss ratio 0.9540
result/w100.csv                              ARC cache size     5143MiB, 1000001 req, miss ratio 0.6649, byte miss ratio 0.8800
result/w100.csv                              LRU cache size       51MiB, 1000001 req, miss ratio 0.7990, byte miss ratio 0.9604
result/w100.csv                              LRU cache size     5143MiB, 1000001 req, miss ratio 0.6747, byte miss ratio 0.8904
result/w100.csv                            Sieve cache size       51MiB, 1000001 req, miss ratio 0.7577, byte miss ratio 0.9519
result/w100.csv                            Sieve cache size     5143MiB, 1000001 req, miss ratio 0.6651, byte miss ratio 0.8804
result/w100.csv                             GDSF cache size       51MiB, 1000001 req, miss ratio 0.7288, byte miss ratio 0.9472
result/w100.csv                             GDSF cache size     5143MiB, 1000001 req, miss ratio 0.6353, byte miss ratio 0.8813
result/w100.csv                  S3FIFO-0.1000-2 cache size       51MiB, 1000001 req, miss ratio 0.7436, byte miss ratio 0.9483
result/w100.csv                  S3FIFO-0.1000-2 cache size     5143MiB, 1000001 req, miss ratio 0.6466, byte miss ratio 0.8708
result/w100.csv                          LRB-BMR cache size       51MiB, 1000001 req, miss ratio 0.7794, byte miss ratio 0.9555
result/w100.csv                          LRB-BMR cache size     5143MiB, 1000001 req, miss ratio 0.6747, byte miss ratio 0.8904
