result/w101.csv                      TLCache-BMR cache size       51MiB, 1000001 req, miss ratio 0.7589, byte miss ratio 0.9516
result/w101.csv                      TLCache-BMR cache size     5136MiB, 1000001 req, miss ratio 0.6706, byte miss ratio 0.8872
result/w101.csv                    TLCacheQL-BMR cache size       51MiB, 1000001 req, miss ratio 0.7701, byte miss ratio 0.9540
result/w101.csv                    TLCacheQL-BMR cache size     5136MiB, 1000001 req, miss ratio 0.6709, byte miss ratio 0.8881
result/w101.csv                              LHD cache size       51MiB, 1000001 req, miss ratio 0.7445, byte miss ratio 0.9502
result/w101.csv                              LHD cache size     5136MiB, 1000001 req, miss ratio 0.6430, byte miss ratio 0.8874
result/w101.csv                            Sieve cache size       51MiB, 1000001 req, miss ratio 0.7519, byte miss ratio 0.9503
result/w101.csv                            Sieve cache size     5136MiB, 1000001 req, miss ratio 0.6630, byte miss ratio 0.8795
result/w101.csv                              ARC cache size       51MiB, 1000001 req, miss ratio 0.7657, byte miss ratio 0.9529
result/w101.csv                              ARC cache size     5136MiB, 1000001 req, miss ratio 0.6628, byte miss ratio 0.8792
result/w101.csv                              LRU cache size       51MiB, 1000001 req, miss ratio 0.7938, byte miss ratio 0.9589
result/w101.csv                              LRU cache size     5136MiB, 1000001 req, miss ratio 0.6721, byte miss ratio 0.8897
result/w101.csv                            LeCaR cache size       51MiB, 1000001 req, miss ratio 0.7830, byte miss ratio 0.9567
result/w101.csv                            LeCaR cache size     5136MiB, 1000001 req, miss ratio 0.6696, byte miss ratio 0.8863
result/w101.csv                             GDSF cache size       51MiB, 1000001 req, miss ratio 0.7222, byte miss ratio 0.9452
result/w101.csv                             GDSF cache size     5136MiB, 1000001 req, miss ratio 0.6342, byte miss ratio 0.8795
result/w101.csv                    TLCacheQL-BMR cache size       51MiB, 1000001 req, miss ratio 0.7701, byte miss ratio 0.9540
result/w101.csv                    TLCacheQL-BMR cache size     5136MiB, 1000001 req, miss ratio 0.6709, byte miss ratio 0.8881
result/w101.csv                      TLCache-BMR cache size       51MiB, 1000001 req, miss ratio 0.7589, byte miss ratio 0.9516
result/w101.csv                      TLCache-BMR cache size     5136MiB, 1000001 req, miss ratio 0.6706, byte miss ratio 0.8872
result/w101.csv                              LHD cache size       51MiB, 1000001 req, miss ratio 0.7445, byte miss ratio 0.9502
result/w101.csv                              LHD cache size     5136MiB, 1000001 req, miss ratio 0.6430, byte miss ratio 0.8874
result/w101.csv                              ARC cache size       51MiB, 1000001 req, miss ratio 0.7657, byte miss ratio 0.9529
