result/w20.csv                    TLCacheQL-BMR cache size        1GiB, 1000001 req, miss ratio 0.7369, byte miss ratio 0.9716
result/w20.csv                    TLCacheQL-BMR cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                              LHD cache size        1GiB, 1000001 req, miss ratio 0.7380, byte miss ratio 0.9750
result/w20.csv                              LHD cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                      TLCache-BMR cache size        1GiB, 1000001 req, miss ratio 0.7341, byte miss ratio 0.9691
result/w20.csv                      TLCache-BMR cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                            Sieve cache size        1GiB, 1000001 req, miss ratio 0.7372, byte miss ratio 0.9716
result/w20.csv                            Sieve cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                              LRU cache size        1GiB, 1000001 req, miss ratio 0.7427, byte miss ratio 0.9737
result/w20.csv                              LRU cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                              ARC cache size        1GiB, 1000001 req, miss ratio 0.7399, byte miss ratio 0.9747
result/w20.csv                              ARC cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                            LeCaR cache size        1GiB, 1000001 req, miss ratio 0.7377, byte miss ratio 0.9717
result/w20.csv                            LeCaR cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                             GDSF cache size        1GiB, 1000001 req, miss ratio 0.7299, byte miss ratio 0.9703
result/w20.csv                             GDSF cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                      TLCache-BMR cache size        1GiB, 1000001 req, miss ratio 0.7341, byte miss ratio 0.9691
result/w20.csv                      TLCache-BMR cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                    TLCacheQL-BMR cache size        1GiB, 1000001 req, miss ratio 0.7369, byte miss ratio 0.9716
result/w20.csv                    TLCacheQL-BMR cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                              LHD cache size        1GiB, 1000001 req, miss ratio 0.7380, byte miss ratio 0.9750
result/w20.csv                              LHD cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                              LRU cache size        1GiB, 1000001 req, miss ratio 0.7427, byte miss ratio 0.9737
result/w20.csv                              LRU cache size      106GiB, 1000001 req, miss ratio 0.6688, byte miss ratio 0.9449
result/w20.csv                            Sieve cache size        1GiB, 1000001 req, miss ratio 0.7372, byte miss ratio 0.9716
