result/w25.csv                    TLCacheQL-BMR cache size      153MiB, 1000001 req, miss ratio 0.9827, byte miss ratio 0.9944
result/w25.csv                    TLCacheQL-BMR cache size    15368MiB, 1000001 req, miss ratio 0.5520, byte miss ratio 0.5538
result/w25.csv                      TLCache-BMR cache size      153MiB, 1000001 req, miss ratio 0.9819, byte miss ratio 0.9947
result/w25.csv                      TLCache-BMR cache size    15368MiB, 1000001 req, miss ratio 0.5520, byte miss ratio 0.5538
result/w25.csv                              LHD cache size      153MiB, 1000001 req, miss ratio 0.9752, byte miss ratio 0.9934
result/w25.csv                              LHD cache size    15368MiB, 1000001 req, miss ratio 0.4527, byte miss ratio 0.4544
result/w25.csv                              ARC cache size      153MiB, 1000001 req, miss ratio 0.9716, byte miss ratio 0.9862
result/w25.csv                              ARC cache size    15368MiB, 1000001 req, miss ratio 0.3748, byte miss ratio 0.3549
result/w25.csv                              LRU cache size      153MiB, 1000001 req, miss ratio 0.9827, byte miss ratio 0.9943
result/w25.csv                              LRU cache size    15368MiB, 1000001 req, miss ratio 0.5520, byte miss ratio 0.5538
result/w25.csv                            Sieve cache size      153MiB, 1000001 req, miss ratio 0.9763, byte miss ratio 0.9881
result/w25.csv                            Sieve cache size    15368MiB, 1000001 req, miss ratio 0.3748, byte miss ratio 0.3549
result/w25.csv                            LeCaR cache size      153MiB, 1000001 req, miss ratio 0.9829, byte miss ratio 0.9943
result/w25.csv                            LeCaR cache size    15368MiB, 1000001 req, miss ratio 0.3787, byte miss ratio 0.3573
result/w25.csv                             GDSF cache size      153MiB, 1000001 req, miss ratio 0.9677, byte miss ratio 0.9931
result/w25.csv                             GDSF cache size    15368MiB, 1000001 req, miss ratio 0.5215, byte miss ratio 0.5414
result/w25.csv                      TLCache-BMR cache size      153MiB, 1000001 req, miss ratio 0.9819, byte miss ratio 0.9947
result/w25.csv                      TLCache-BMR cache size    15368MiB, 1000001 req, miss ratio 0.5520, byte miss ratio 0.5538
result/w25.csv                              LHD cache size      153MiB, 1000001 req, miss ratio 0.9752, byte miss ratio 0.9934
result/w25.csv                              LHD cache size    15368MiB, 1000001 req, miss ratio 0.4527, byte miss ratio 0.4544
result/w25.csv                    TLCacheQL-BMR cache size      153MiB, 1000001 req, miss ratio 0.9827, byte miss ratio 0.9944
result/w25.csv                    TLCacheQL-BMR cache size    15368MiB, 1000001 req, miss ratio 0.5520, byte miss ratio 0.5538
result/w25.csv                            LeCaR cache size      153MiB, 1000001 req, miss ratio 0.9829, byte miss ratio 0.9943
result/w25.csv                            LeCaR cache size    15368MiB, 1000001 req, miss ratio 0.3787, byte miss ratio 0.3573
result/w25.csv                              ARC cache size      153MiB, 1000001 req, miss ratio 0.9716, byte miss ratio 0.9862
result/w25.csv                              ARC cache size    15368MiB, 1000001 req, miss ratio 0.3748, byte miss ratio 0.3549
