result/w43.csv                              LHD cache size      122MiB, 1000001 req, miss ratio 0.7814, byte miss ratio 0.9443
result/w43.csv                              LHD cache size    12287MiB, 1000001 req, miss ratio 0.5761, byte miss ratio 0.7114
result/w43.csv                    TLCacheQL-BMR cache size      122MiB, 1000001 req, miss ratio 0.7823, byte miss ratio 0.9372
result/w43.csv                    TLCacheQL-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                      TLCache-BMR cache size      122MiB, 1000001 req, miss ratio 0.7776, byte miss ratio 0.9305
result/w43.csv                      TLCache-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                            Sieve cache size      122MiB, 1000001 req, miss ratio 0.7850, byte miss ratio 0.9420
result/w43.csv                            Sieve cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                              LRU cache size      122MiB, 1000001 req, miss ratio 0.7959, byte miss ratio 0.9464
result/w43.csv                              LRU cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                            LeCaR cache size      122MiB, 1000001 req, miss ratio 0.7859, byte miss ratio 0.9412
result/w43.csv                            LeCaR cache size    12287MiB, 1000001 req, miss ratio 0.5804, byte miss ratio 0.7117
result/w43.csv                              ARC cache size      122MiB, 1000001 req, miss ratio 0.7839, byte miss ratio 0.9323
result/w43.csv                              ARC cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                             GDSF cache size      122MiB, 1000001 req, miss ratio 0.7759, byte miss ratio 0.9421
result/w43.csv                             GDSF cache size    12287MiB, 1000001 req, miss ratio 0.5745, byte miss ratio 0.7087
result/w43.csv                      TLCache-BMR cache size      122MiB, 1000001 req, miss ratio 0.7776, byte miss ratio 0.9305
result/w43.csv                      TLCache-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                              LHD cache size      122MiB, 1000001 req, miss ratio 0.7814, byte miss ratio 0.9443
result/w43.csv                              LHD cache size    12287MiB, 1000001 req, miss ratio 0.5761, byte miss ratio 0.7114
result/w43.csv                    TLCacheQL-BMR cache size      122MiB, 1000001 req, miss ratio 0.7823, byte miss ratio 0.9372
result/w43.csv                    TLCacheQL-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                            Sieve cache size      122MiB, 1000001 req, miss ratio 0.7850, byte miss ratio 0.9420
result/w43.csv                            Sieve cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                              LRU cache size      122MiB, 1000001 req, miss ratio 0.7959, byte miss ratio 0.9464
result/w43.csv                              LRU cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                              ARC cache size      122MiB, 1000001 req, miss ratio 0.7839, byte miss ratio 0.9323
result/w43.csv                              ARC cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                            LeCaR cache size      122MiB, 1000001 req, miss ratio 0.7859, byte miss ratio 0.9412
result/w43.csv                            LeCaR cache size    12287MiB, 1000001 req, miss ratio 0.5804, byte miss ratio 0.7117
result/w43.csv                             GDSF cache size      122MiB, 1000001 req, miss ratio 0.7759, byte miss ratio 0.9421
result/w43.csv                             GDSF cache size    12287MiB, 1000001 req, miss ratio 0.5745, byte miss ratio 0.7087
result/w43.csv                  S3FIFO-0.1000-2 cache size      122MiB, 1000001 req, miss ratio 0.7791, byte miss ratio 0.9305
result/w43.csv                  S3FIFO-0.1000-2 cache size    12287MiB, 1000001 req, miss ratio 0.5814, byte miss ratio 0.7118
result/w43.csv                              LHD cache size      122MiB, 1000001 req, miss ratio 0.7814, byte miss ratio 0.9443
result/w43.csv                              LHD cache size    12287MiB, 1000001 req, miss ratio 0.5761, byte miss ratio 0.7114
result/w43.csv                      TLCache-BMR cache size      122MiB, 1000001 req, miss ratio 0.7776, byte miss ratio 0.9305
result/w43.csv                      TLCache-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                    TLCacheQL-BMR cache size      122MiB, 1000001 req, miss ratio 0.7823, byte miss ratio 0.9372
result/w43.csv                    TLCacheQL-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                            Sieve cache size      122MiB, 1000001 req, miss ratio 0.7850, byte miss ratio 0.9420
result/w43.csv                            Sieve cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                              ARC cache size      122MiB, 1000001 req, miss ratio 0.7839, byte miss ratio 0.9323
result/w43.csv                              ARC cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                            LeCaR cache size      122MiB, 1000001 req, miss ratio 0.7859, byte miss ratio 0.9412
result/w43.csv                            LeCaR cache size    12287MiB, 1000001 req, miss ratio 0.5804, byte miss ratio 0.7117
result/w43.csv                              LRU cache size      122MiB, 1000001 req, miss ratio 0.7959, byte miss ratio 0.9464
result/w43.csv                              LRU cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                             GDSF cache size      122MiB, 1000001 req, miss ratio 0.7759, byte miss ratio 0.9421
result/w43.csv                             GDSF cache size    12287MiB, 1000001 req, miss ratio 0.5745, byte miss ratio 0.7087
result/w43.csv                  S3FIFO-0.1000-2 cache size      122MiB, 1000001 req, miss ratio 0.7791, byte miss ratio 0.9305
result/w43.csv                  S3FIFO-0.1000-2 cache size    12287MiB, 1000001 req, miss ratio 0.5814, byte miss ratio 0.7118
result/w43.csv                          LRB-BMR cache size      122MiB, 1000001 req, miss ratio 0.7882, byte miss ratio 0.9348
result/w43.csv                          LRB-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                              LHD cache size      122MiB, 1000001 req, miss ratio 0.7814, byte miss ratio 0.9443
result/w43.csv                              LHD cache size    12287MiB, 1000001 req, miss ratio 0.5761, byte miss ratio 0.7114
result/w43.csv                    TLCacheQL-BMR cache size      122MiB, 1000001 req, miss ratio 0.7823, byte miss ratio 0.9372
result/w43.csv                    TLCacheQL-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                      TLCache-BMR cache size      122MiB, 1000001 req, miss ratio 0.7776, byte miss ratio 0.9305
result/w43.csv                      TLCache-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                            Sieve cache size      122MiB, 1000001 req, miss ratio 0.7850, byte miss ratio 0.9420
result/w43.csv                            Sieve cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                              LRU cache size      122MiB, 1000001 req, miss ratio 0.7959, byte miss ratio 0.9464
result/w43.csv                              LRU cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                            LeCaR cache size      122MiB, 1000001 req, miss ratio 0.7859, byte miss ratio 0.9412
result/w43.csv                            LeCaR cache size    12287MiB, 1000001 req, miss ratio 0.5804, byte miss ratio 0.7117
result/w43.csv                              ARC cache size      122MiB, 1000001 req, miss ratio 0.7839, byte miss ratio 0.9323
result/w43.csv                              ARC cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                              LHD cache size      122MiB, 1000001 req, miss ratio 0.7814, byte miss ratio 0.9443
result/w43.csv                              LHD cache size    12287MiB, 1000001 req, miss ratio 0.5761, byte miss ratio 0.7114
result/w43.csv                      TLCache-BMR cache size      122MiB, 1000001 req, miss ratio 0.7776, byte miss ratio 0.9305
result/w43.csv                      TLCache-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                    TLCacheQL-BMR cache size      122MiB, 1000001 req, miss ratio 0.7823, byte miss ratio 0.9372
result/w43.csv                    TLCacheQL-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                              LRU cache size      122MiB, 1000001 req, miss ratio 0.7959, byte miss ratio 0.9464
result/w43.csv                              LRU cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
result/w43.csv                            Sieve cache size      122MiB, 1000001 req, miss ratio 0.7850, byte miss ratio 0.9420
result/w43.csv                            Sieve cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                            LeCaR cache size      122MiB, 1000001 req, miss ratio 0.7859, byte miss ratio 0.9412
result/w43.csv                            LeCaR cache size    12287MiB, 1000001 req, miss ratio 0.5804, byte miss ratio 0.7117
result/w43.csv                              ARC cache size      122MiB, 1000001 req, miss ratio 0.7839, byte miss ratio 0.9323
result/w43.csv                              ARC cache size    12287MiB, 1000001 req, miss ratio 0.5775, byte miss ratio 0.7078
result/w43.csv                             GDSF cache size      122MiB, 1000001 req, miss ratio 0.7759, byte miss ratio 0.9421
result/w43.csv                             GDSF cache size    12287MiB, 1000001 req, miss ratio 0.5745, byte miss ratio 0.7087
result/w43.csv                  S3FIFO-0.1000-2 cache size      122MiB, 1000001 req, miss ratio 0.7791, byte miss ratio 0.9305
result/w43.csv                  S3FIFO-0.1000-2 cache size    12287MiB, 1000001 req, miss ratio 0.5814, byte miss ratio 0.7118
result/w43.csv                          LRB-BMR cache size      122MiB, 1000001 req, miss ratio 0.7882, byte miss ratio 0.9348
result/w43.csv                          LRB-BMR cache size    12287MiB, 1000001 req, miss ratio 0.5810, byte miss ratio 0.7126
