result/w52.csv                      TLCache-BMR cache size        7MiB, 1000001 req, miss ratio 0.5041, byte miss ratio 0.7181
result/w52.csv                      TLCache-BMR cache size      748MiB, 1000001 req, miss ratio 0.2467, byte miss ratio 0.4323
result/w52.csv                    TLCacheQL-BMR cache size        7MiB, 1000001 req, miss ratio 0.5066, byte miss ratio 0.7201
result/w52.csv                    TLCacheQL-BMR cache size      748MiB, 1000001 req, miss ratio 0.2536, byte miss ratio 0.4458
result/w52.csv                              LHD cache size        7MiB, 1000001 req, miss ratio 0.4859, byte miss ratio 0.7226
result/w52.csv                              LHD cache size      748MiB, 1000001 req, miss ratio 0.1862, byte miss ratio 0.4442
result/w52.csv                              ARC cache size        7MiB, 1000001 req, miss ratio 0.4877, byte miss ratio 0.7096
result/w52.csv                              ARC cache size      748MiB, 1000001 req, miss ratio 0.1943, byte miss ratio 0.4375
result/w52.csv                              LRU cache size        7MiB, 1000001 req, miss ratio 0.5201, byte miss ratio 0.7280
result/w52.csv                              LRU cache size      748MiB, 1000001 req, miss ratio 0.2838, byte miss ratio 0.4819
result/w52.csv                            Sieve cache size        7MiB, 1000001 req, miss ratio 0.4899, byte miss ratio 0.7123
result/w52.csv                            Sieve cache size      748MiB, 1000001 req, miss ratio 0.1959, byte miss ratio 0.4423
result/w52.csv                            LeCaR cache size        7MiB, 1000001 req, miss ratio 0.4958, byte miss ratio 0.7145
result/w52.csv                            LeCaR cache size      748MiB, 1000001 req, miss ratio 0.2253, byte miss ratio 0.4407
result/w52.csv                             GDSF cache size        7MiB, 1000001 req, miss ratio 0.4765, byte miss ratio 0.7130
result/w52.csv                             GDSF cache size      748MiB, 1000001 req, miss ratio 0.1652, byte miss ratio 0.4379
result/w52.csv                      TLCache-BMR cache size        7MiB, 1000001 req, miss ratio 0.5041, byte miss ratio 0.7181
result/w52.csv                      TLCache-BMR cache size      748MiB, 1000001 req, miss ratio 0.2467, byte miss ratio 0.4323
result/w52.csv                    TLCacheQL-BMR cache size        7MiB, 1000001 req, miss ratio 0.5066, byte miss ratio 0.7201
result/w52.csv                    TLCacheQL-BMR cache size      748MiB, 1000001 req, miss ratio 0.2536, byte miss ratio 0.4458
result/w52.csv                              LHD cache size        7MiB, 1000001 req, miss ratio 0.4859, byte miss ratio 0.7226
result/w52.csv                              LHD cache size      748MiB, 1000001 req, miss ratio 0.1862, byte miss ratio 0.4442
result/w52.csv                              LRU cache size        7MiB, 1000001 req, miss ratio 0.5201, byte miss ratio 0.7280
result/w52.csv                              LRU cache size      748MiB, 1000001 req, miss ratio 0.2838, byte miss ratio 0.4819
result/w52.csv                              ARC cache size        7MiB, 1000001 req, miss ratio 0.4877, byte miss ratio 0.7096
result/w52.csv                              ARC cache size      748MiB, 1000001 req, miss ratio 0.1943, byte miss ratio 0.4375
result/w52.csv                            Sieve cache size        7MiB, 1000001 req, miss ratio 0.4899, byte miss ratio 0.7123
result/w52.csv                            Sieve cache size      748MiB, 1000001 req, miss ratio 0.1959, byte miss ratio 0.4423
result/w52.csv                            LeCaR cache size        7MiB, 1000001 req, miss ratio 0.4958, byte miss ratio 0.7145
result/w52.csv                            LeCaR cache size      748MiB, 1000001 req, miss ratio 0.2253, byte miss ratio 0.4407
result/w52.csv                             GDSF cache size        7MiB, 1000001 req, miss ratio 0.4765, byte miss ratio 0.7130
result/w52.csv                             GDSF cache size      748MiB, 1000001 req, miss ratio 0.1652, byte miss ratio 0.4379
result/w52.csv                      TLCache-BMR cache size        7MiB, 1000001 req, miss ratio 0.5041, byte miss ratio 0.7181
result/w52.csv                      TLCache-BMR cache size      748MiB, 1000001 req, miss ratio 0.2467, byte miss ratio 0.4323
result/w52.csv                    TLCacheQL-BMR cache size        7MiB, 1000001 req, miss ratio 0.5066, byte miss ratio 0.7201
result/w52.csv                    TLCacheQL-BMR cache size      748MiB, 1000001 req, miss ratio 0.2536, byte miss ratio 0.4458
result/w52.csv                              LRU cache size        7MiB, 1000001 req, miss ratio 0.5201, byte miss ratio 0.7280
result/w52.csv                              LRU cache size      748MiB, 1000001 req, miss ratio 0.2838, byte miss ratio 0.4819
result/w52.csv                              LHD cache size        7MiB, 1000001 req, miss ratio 0.4859, byte miss ratio 0.7226
result/w52.csv                              LHD cache size      748MiB, 1000001 req, miss ratio 0.1862, byte miss ratio 0.4442
result/w52.csv                              ARC cache size        7MiB, 1000001 req, miss ratio 0.4877, byte miss ratio 0.7096
result/w52.csv                              ARC cache size      748MiB, 1000001 req, miss ratio 0.1943, byte miss ratio 0.4375
result/w52.csv                            Sieve cache size        7MiB, 1000001 req, miss ratio 0.4899, byte miss ratio 0.7123
result/w52.csv                            Sieve cache size      748MiB, 1000001 req, miss ratio 0.1959, byte miss ratio 0.4423
result/w52.csv                            LeCaR cache size        7MiB, 1000001 req, miss ratio 0.4958, byte miss ratio 0.7145
result/w52.csv                            LeCaR cache size      748MiB, 1000001 req, miss ratio 0.2253, byte miss ratio 0.4407
result/w52.csv                             GDSF cache size        7MiB, 1000001 req, miss ratio 0.4765, byte miss ratio 0.7130
result/w52.csv                             GDSF cache size      748MiB, 1000001 req, miss ratio 0.1652, byte miss ratio 0.4379
result/w52.csv                  S3FIFO-0.1000-2 cache size        7MiB, 1000001 req, miss ratio 0.4869, byte miss ratio 0.7092
result/w52.csv                  S3FIFO-0.1000-2 cache size      748MiB, 1000001 req, miss ratio 0.1969, byte miss ratio 0.4044
result/w52.csv                          Cacheus cache size        7MiB, 1000001 req, miss ratio 0.4925, byte miss ratio 0.7119
result/w52.csv                          Cacheus cache size      748MiB, 1000001 req, miss ratio 0.2060, byte miss ratio 0.4227
result/w52.csv                          LRB-BMR cache size        7MiB, 1000001 req, miss ratio 0.4983, byte miss ratio 0.7100
result/w52.csv                          LRB-BMR cache size      748MiB, 1000001 req, miss ratio 0.2435, byte miss ratio 0.4304
result/w52.csv                    TLCacheQL-BMR cache size        7MiB, 1000001 req, miss ratio 0.5066, byte miss ratio 0.7201
result/w52.csv                    TLCacheQL-BMR cache size      748MiB, 1000001 req, miss ratio 0.2536, byte miss ratio 0.4458
result/w52.csv                              LHD cache size        7MiB, 1000001 req, miss ratio 0.4859, byte miss ratio 0.7226
result/w52.csv                              LHD cache size      748MiB, 1000001 req, miss ratio 0.1862, byte miss ratio 0.4442
result/w52.csv                    TLCacheQL-BMR cache size        7MiB, 1000001 req, miss ratio 0.5066, byte miss ratio 0.7201
result/w52.csv                    TLCacheQL-BMR cache size      748MiB, 1000001 req, miss ratio 0.2536, byte miss ratio 0.4458
result/w52.csv                      TLCache-BMR cache size        7MiB, 1000001 req, miss ratio 0.5041, byte miss ratio 0.7181
result/w52.csv                      TLCache-BMR cache size      748MiB, 1000001 req, miss ratio 0.2467, byte miss ratio 0.4323
result/w52.csv                              LHD cache size        7MiB, 1000001 req, miss ratio 0.4859, byte miss ratio 0.7226
result/w52.csv                              LHD cache size      748MiB, 1000001 req, miss ratio 0.1862, byte miss ratio 0.4442
result/w52.csv                              ARC cache size        7MiB, 1000001 req, miss ratio 0.4877, byte miss ratio 0.7096
result/w52.csv                              ARC cache size      748MiB, 1000001 req, miss ratio 0.1943, byte miss ratio 0.4375
result/w52.csv                              LRU cache size        7MiB, 1000001 req, miss ratio 0.5201, byte miss ratio 0.7280
result/w52.csv                              LRU cache size      748MiB, 1000001 req, miss ratio 0.2838, byte miss ratio 0.4819
result/w52.csv                            LeCaR cache size        7MiB, 1000001 req, miss ratio 0.4958, byte miss ratio 0.7145
result/w52.csv                            LeCaR cache size      748MiB, 1000001 req, miss ratio 0.2253, byte miss ratio 0.4407
result/w52.csv                            Sieve cache size        7MiB, 1000001 req, miss ratio 0.4899, byte miss ratio 0.7123
result/w52.csv                            Sieve cache size      748MiB, 1000001 req, miss ratio 0.1959, byte miss ratio 0.4423
result/w52.csv                             GDSF cache size        7MiB, 1000001 req, miss ratio 0.4765, byte miss ratio 0.7130
result/w52.csv                             GDSF cache size      748MiB, 1000001 req, miss ratio 0.1652, byte miss ratio 0.4379
result/w52.csv                  S3FIFO-0.1000-2 cache size        7MiB, 1000001 req, miss ratio 0.4869, byte miss ratio 0.7092
result/w52.csv                  S3FIFO-0.1000-2 cache size      748MiB, 1000001 req, miss ratio 0.1969, byte miss ratio 0.4044
result/w52.csv                          Cacheus cache size        7MiB, 1000001 req, miss ratio 0.4925, byte miss ratio 0.7119
result/w52.csv                          Cacheus cache size      748MiB, 1000001 req, miss ratio 0.2060, byte miss ratio 0.4227
result/w52.csv                          LRB-BMR cache size        7MiB, 1000001 req, miss ratio 0.4983, byte miss ratio 0.7100
result/w52.csv                          LRB-BMR cache size      748MiB, 1000001 req, miss ratio 0.2435, byte miss ratio 0.4304
