write_ratio,avg_request_size,size_variance,singleton_ratio,popularity_skewness,avg_frequency,object_diversity,avg_reuse_distance,sequentiality_ratio,out_cache_hit_rate,request_rate,burstiness_index,arrival_time_variance,working_set_byte_delta,scan_ratio
0,54619.5,4.05031e+10,0.866232,0.778892,1.1085,0.902121,26.5667,0.681892,0,0.250331,1.26333,25.4683,3.32406e+07,0.902121
0,37704.5,2.58306e+10,0.878578,0.633439,1.08691,0.920039,130.79,0.752221,0.000987167,0.283887,1.27668,20.2244,3.74252e+07,0.920039
0,26240.5,1.64406e+10,0.919162,0.508527,1.05563,0.947305,153.352,0.807784,0.0011976,0.339111,1.30224,14.7468,4.27694e+07,0.947305
0,18349.7,1.03982e+10,0.949317,0.404828,1.0342,0.96693,191.761,0.856219,0.00107836,0.431731,1.34913,9.76519,4.97224e+07,0.96693
0,14845.5,7.34425e+09,0.96344,0.360572,1.02449,0.976096,259.657,0.871807,0.000937427,0.529935,1.38103,6.79139,6.1204e+07,0.976096
0,13144.6,5.88614e+09,0.970454,0.327692,1.01954,0.98083,329.394,0.885332,0.000879353,0.612362,1.41045,5.30517,7.20538e+07,0.98083
0,12455.2,5.15426e+09,0.971888,0.302143,1.01815,0.982176,646.39,0.887842,0.00159397,0.685758,1.44627,4.44791,8.24356e+07,0.982176
0,11692.3,4.63353e+09,0.974223,0.299415,1.0167,0.983573,710.323,0.89209,0.0015163,0.739273,1.47084,3.95844,8.87281e+07,0.983573
0,11126.3,4.14058e+09,0.977282,0.28126,1.01461,0.985602,702.363,0.890785,0.00127986,0.797234,1.49366,3.51018,9.99788e+07,0.985602
0,10793.7,3.8152e+09,0.97743,0.271784,1.01428,0.985917,1311.2,0.891625,0.00130573,0.852926,1.5216,3.18256,1.1055e+08,0.985917
0,10404.9,3.49781e+09,0.97871,0.274332,1.01351,0.986673,1441.69,0.891923,0.00154396,0.912166,1.55298,2.89856,1.22292e+08,0.986673
0,9928.86,3.19385e+09,0.926633,2.4379,1.06714,0.937083,358.548,0.837518,0.00152395,0.947089,1.57012,2.74841,1.27932e+08,0.937083
0,9755.63,3.05193e+09,0.931092,2.3479,1.0627,0.941003,480.748,0.840755,0.00140628,0.967831,1.5809,2.66815,1.36297e+08,0.941003
0,9589.73,2.92818e+09,0.934206,2.27637,1.05934,0.943981,618.236,0.843286,0.00137853,1.00083,1.60104,2.55906,1.41857e+08,0.943981
0,7663.72,1.31338e+09,0.94397,2.13911,1.05127,0.951233,1117.61,0.849792,0.00140381,2.88366,0,0,1.13401e+08,0.948425
0,8379.91,1.44275e+09,0.910522,2.30529,1.07373,0.931335,1667.06,0.835022,0.00201416,0.99921,1.53486,2.35953,1.15293e+08,0.927429
0,9539.72,2.19127e+09,0.888855,2.50296,1.09132,0.916321,1855.48,0.819092,0.00305176,0.791199,1.41793,3.21172,1.27396e+08,0.910767
0,9718.22,2.2235e+09,0.88562,2.50553,1.09329,0.914673,2004.3,0.817871,0.00311279,0.817107,1.42075,3.02329,1.28146e+08,0.908142
0,9713.53,2.22125e+09,0.883972,2.51212,1.09453,0.913635,2176.88,0.815979,0.00317383,0.838929,1.42075,2.86805,1.28003e+08,0.905579
0,9695.03,2.21549e+09,0.883667,2.51453,1.09489,0.91333,2358.33,0.81366,0.00366211,0.856435,1.42075,2.752,1.2879e+08,0.903564
0,9694.5,2.20894e+09,0.88324,2.51653,1.09585,0.912537,2464.62,0.813232,0.00372314,0.877295,1.42632,2.64328,1.28764e+08,0.901917
0,9702.34,2.20175e+09,0.875122,2.76933,1.10397,0.905823,2448.87,0.802795,0.00408936,0.886285,1.42355,2.57987,1.28606e+08,0.894287
0,9705.47,2.2005e+09,0.875,2.77934,1.10434,0.905518,2616.49,0.802429,0.00415039,0.901377,1.42632,2.50392,1.28799e+08,0.892212
0,9769.28,2.2177e+09,0.875427,2.78216,1.10404,0.905762,2659.52,0.801941,0.00396729,0.909252,1.42355,2.45119,1.29476e+08,0.891052
0,9815.44,2.21879e+09,0.876648,2.77616,1.1036,0.906128,2799.64,0.800171,0.00372314,0.920454,1.42355,2.39189,1.29888e+08,0.889099
0,9958.12,2.25167e+09,0.885437,2.23496,1.09256,0.915283,3202.14,0.81073,0.00396729,0.935302,1.42906,2.33453,1.30985e+08,0.898438
0,9705.84,2.20517e+09,0.907654,1.41497,1.07001,0.93457,3866.7,0.829651,0.00415039,0.937836,1.42632,2.31302,1.31116e+08,0.91571
0,10060,2.28305e+09,0.911743,1.41082,1.06806,0.936279,3958.39,0.830017,0.00476074,0.951141,1.43178,2.26602,1.33007e+08,0.913635
0,10099.7,2.29425e+09,0.920654,1.40734,1.06327,0.940491,3935.64,0.833496,0.00524902,0.953237,1.42906,2.2475,1.33432e+08,0.913147
0,10140.8,2.32195e+09,0.923096,1.34009,1.06066,0.94281,4347.29,0.838013,0.00524902,0.958612,1.47119,2.35533,1.29418e+08,0.925171
0,8296.94,1.47578e+09,0.946838,1.53536,1.04556,0.956421,4423.21,0.848633,0.00463867,3.30121,0,0,1.16201e+08,0.93689
