avg_size,len,bytes,long_enough,arm_chosen,delta_bmr,stored,type_idx
54702,612,33477632,0,0,0,0,0
11788.8,400,4715520,0,0,0,0,0
8564.51,657,5626880,0,0,0,0,0
6494.99,1113,7228928,0,0,0,0,0
8280.61,1485,12296704,0,0,0,0,0
8029.99,1419,11394560,0,0,0,0,0
9235.4,1214,11211776,0,0,0,0,0
6489.88,1014,6580736,0,0,0,0,0
8062.42,1462,11787264,0,0,0,0,0
8482.45,1345,11408896,0,0,0,0,0
7768.83,1585,12313600,0,0,0,0,0
5954.69,1474,8777216,0,0,0,0,0
7685.33,1153,8861184,0,0,0,0,0
7174.99,1026,7361536,0,0,0,0,0
7579.57,1407,10664448,0,0,0,0,9
18266.9,1005,18358272,0,0,0,0,0
30055.1,1001,30085120,0,0,0,0,0
8441.83,1162,9809408,0,0,0,0,0
8754.12,1277,11179008,0,0,0,0,0
8857.64,1173,10390016,0,0,0,0,0
6780.14,1027,6963200,0,0,0,0,0
6824.72,1053,7186432,0,0,0,0,0
9830.3,1066,10479104,0,0,0,0,0
7588.88,1225,9296384,0,0,0,0,0
8438.82,1367,11535872,0,0,0,0,0
8673.56,1043,9046528,0,0,0,0,0
5480.09,1028,5633536,0,0,0,0,0
11492.5,1035,11894784,0,0,0,0,0
8217.48,1246,10238976,0,0,0,0,0
9107.66,1276,11621376,0,0,0,0,0
9638.21,1015,9782784,0,0,0,0,9
16698.6,1014,16932352,0,0,0,0,0
10227.7,1002,10248192,0,0,0,0,0
8915.63,1004,8951296,0,0,0,0,0
18420.5,1021,18807296,0,0,0,0,8
18166.3,1025,18620416,0,0,0,0,8
21431.9,1001,21453312,0,0,0,0,8
24573,1014,24916992,0,0,0,0,8
29005.3,1014,29411328,0,0,0,0,8
26890.8,1063,28584960,0,0,0,0,8
28566.6,1010,28852224,0,0,0,0,8
12378.4,1178,14581760,0,0,0,0,8
17994.2,1407,25317888,0,0,0,0,8
24691.1,1032,25481216,0,0,0,0,8
89996.4,1156,104035840,0,0,0,0,8
33102.3,1026,33963008,0,0,0,0,8
27461.7,1017,27928576,0,0,0,0,8
19841.6,1065,21131264,0,0,0,0,8
21102,1001,21123072,0,0,0,0,8
21040.1,1021,21481984,0,0,0,0,8
96800.8,1047,101350400,0,0,0,0,8
17375.3,1019,17705472,0,0,0,0,8
11308,1059,11975168,0,0,0,0,8
11905.4,1480,17619968,0,0,0,0,8
10700.3,1465,15675904,0,0,0,0,8
10417.9,1453,15137280,0,0,0,0,8
15498,1198,18566656,0,0,0,0,8
11041.7,1002,11063808,0,0,0,0,8
48342.9,1041,50324992,0,0,0,0,8
4746.64,1071,5083648,0,0,0,0,8
11774.9,1362,16037376,0,0,0,0,8
9532.18,1004,9570304,0,0,0,0,8
9190.18,1428,13123584,0,0,0,0,8
9623.5,1558,14993408,0,0,0,0,0
9137.38,1563,14281728,0,0,0,0,0
10159.9,703,7142400,0,0,0,0,0
8522.27,1003,8547840,0,0,0,0,0
12463.1,1009,12575232,0,0,0,0,0
7892.14,1646,12990464,0,0,0,0,0
273597,1006,275238912,0,0,0,0,0
46072,1083,49895936,0,0,0,0,0
10266.9,1007,10338816,0,0,0,0,0
20413.4,1030,21025792,0,0,0,0,0
115226,454,52312576,0,0,0,0,0
11129.1,1078,11997184,0,0,0,0,0
9554.83,1499,14322688,0,0,0,0,0
10285.2,1394,14337536,0,0,0,0,0
9361.21,1495,13995008,0,0,0,0,0
9709.75,1010,9806848,0,0,0,0,0
9493.25,1012,9607168,0,0,0,0,0
8822.74,733,6467072,0,0,0,0,0
9013.02,1405,12663296,0,0,0,0,0
9168.99,1111,10186752,0,0,0,0,0
9711.1,1394,13537280,0,0,0,0,0
9169.41,1165,10682368,0,0,0,0,0
12781.8,1014,12960768,0,0,0,0,0
8584.45,651,5588480,0,0,0,0,0
9290.07,1258,11686912,0,0,0,0,9
9377.44,1221,11449856,0,0,0,0,9
10488.8,1212,12712448,0,0,0,0,9
9742.52,1093,10648576,0,0,0,0,9
